1568	2L	8302899	8302985	-
1571	2L	15089290	15089370	-
1558	2L	17362421	17362522	-
1559	2L	17496155	17496247	-
1554	2L	18991754	18991845	+
1551	2L	21839672	21839758	-
1561	2L	37757089	37757195	+
1547	2L	37757564	37757657	-
1562	2L	37758706	37758788	+
1555	2R	28234523	28234612	-
1567	2R	28251997	28252086	-
1539	2R	33274498	33274608	+
1566	2R	33703164	33703239	+
1560	2R	37890034	37890125	-
1572	2R	39181115	39181203	+
1573	2R	39200608	39200694	+
1557	2R	55573327	55573415	-
1542	2R	59711765	59711866	-
1576	2R	60297556	60297639	+
1556	3L	34112621	34112703	-
1564	3L	34537912	34538009	+
1570	3L	38943045	38943130	+
1565	3L	40899904	40900003	-
1574	3R	5887786	5887878	-
1569	3R	5888298	5888391	-
1575	3R	5891167	5891256	-
1545	3R	10270160	10270271	-
1540	3R	10270708	10270797	-
1543	3R	10274677	10274768	-
1541	3R	10569154	10569251	-
1552	3R	12395476	12395561	+
1546	3R	15075187	15075263	-
1548	3R	24898041	24898134	+
1544	3R	29001980	29002062	+
1553	3R	38377342	38377436	+
1563	3R	38386246	38386335	+
1549	3R	42632357	42632438	+
1550	X	21450335	21450414	+
1530	Group1.1	134955	135038	-
1529	Group1.1	135899	135987	-
1536	Group1.64	474359	474445	-
1527	Group1.65	143828	143930	-
1523	Group10.29	368549	368639	+
1522	Group11.1	42863	42964	-
1517	Group11.31	1118453	1118529	+
1535	Group11.33	642193	642277	-
1520	Group13.5	467376	467467	-
1528	Group14.23	30948	31039	+
1514	Group14.24	1302336	1302422	+
1537	Group15.33	20325	20416	-
1515	Group16.18	5854	5936	+
1519	Group16.18	199372	199460	+
1538	Group16.9	878073	878157	-
1516	Group2.17	22430	22512	-
1532	Group2.33	181912	181993	+
1521	Group2.38	687279	687363	+
1531	Group4.22	624609	624698	+
1533	Group5.13	300664	300753	+
1525	Group5.13	322869	322952	+
1524	Group7.35	693906	693989	-
1518	Group8.27	75729	75835	+
1526	Group8.46	128925	129016	+
1534	Group9.22	487150	487236	+
1515	GroupUn.3013	14765	14847	-
190	NC_003070.5	78927	79037	-
949	NC_003070.5	3961348	3961464	-
4109	NC_003070.5	4182130	4182297	-
209	NC_003070.5	6220639	6220834	+
942	NC_003070.5	6695411	6695600	-
958	NC_003070.5	7058184	7058300	+
4118	NC_003070.5	7423507	7423600	+
960	NC_003070.5	9363183	9363275	-
961	NC_003070.5	9364458	9364557	+
962	NC_003070.5	9367067	9367166	+
973	NC_003070.5	10227059	10227181	+
935	NC_003070.5	11137520	11137896	+
1023	NC_003070.5	11230444	11230593	-
1019	NC_003070.5	11785916	11786017	+
4110	NC_003070.5	13067229	13067313	+
184	NC_003070.5	17829353	17829525	+
178	NC_003070.5	18030479	18030699	-
1027	NC_003070.5	19433747	19433946	-
938	NC_003070.5	20043131	20043284	-
939	NC_003070.5	20045186	20045402	+
1032	NC_003070.5	20775884	20775968	+
1383	NC_003070.5	22111011	22111121	+
4111	NC_003070.5	22153601	22153698	+
4113	NC_003070.5	22799283	22799400	+
950	NC_003070.5	22933754	22933869	-
1367	NC_003070.5	23061699	23061821	+
974	NC_003070.5	23349042	23349176	-
4120	NC_003070.5	24724784	24725114	+
187	NC_003070.5	24887729	24888059	+
175	NC_003070.5	24916865	24916962	-
176	NC_003070.5	24924749	24924880	+
1368	NC_003070.5	25141119	25141226	-
963	NC_003070.5	26273642	26273741	-
964	NC_003070.5	26276439	26276533	-
965	NC_003070.5	26277521	26277632	+
4114	NC_003070.5	26641663	26641770	+
180	NC_003070.5	27716894	27717077	-
1369	NC_003070.5	27990677	27990786	+
959	NC_003070.5	28573702	28573822	+
1021	NC_003070.5	29021414	29021722	+
4112	NC_003070.5	29427345	29427467	+
970	NC_003071.3	1040935	1041039	+
966	NC_003071.3	4149405	4149555	-
1370	NC_003071.3	7015602	7015681	+
1030	NC_003071.3	8419598	8419700	-
4116	NC_003071.3	9567841	9568003	+
1024	NC_003071.3	9642037	9642193	-
169	NC_003071.3	10683530	10683652	-
206	NC_003071.3	11949991	11950092	-
1371	NC_003071.3	13715825	13715941	-
1028	NC_003071.3	13873282	13873544	+
976	NC_003071.3	14450057	14450156	-
977	NC_003071.3	14450583	14450691	+
978	NC_003071.3	14452076	14452193	+
953	NC_003071.3	16069032	16069138	+
181	NC_003071.3	16347357	16347441	+
956	NC_003071.3	16659179	16659311	+
1034	NC_003071.3	17036779	17036977	+
4115	NC_003071.3	17356515	17356652	-
1033	NC_003071.3	19001705	19001929	+
192	NC_003071.3	19183178	19183347	+
1029	NC_003071.3	19326884	19327101	+
1022	NC_003071.3	19422122	19422256	+
188	NC_003071.3	19527822	19527934	+
1036	NC_003074.4	1306628	1306787	-
179	NC_003074.4	3366336	3366435	-
951	NC_003074.4	3599782	3599914	-
203	NC_003074.4	4359001	4359226	-
940	NC_003074.4	4805691	4805857	-
4119	NC_003074.4	5500043	5500153	+
177	NC_003074.4	6244506	6244722	-
1372	NC_003074.4	6516224	6516296	+
199	NC_003074.4	8108079	8108216	+
208	NC_003074.4	8236160	8236261	+
