AC   MIPF0000040
ID   mir-199
MI   MI0000241  mmu-mir-199a-1
MI   MI0000242  hsa-mir-199a-1
MI   MI0000281  hsa-mir-199a-2
MI   MI0000282  hsa-mir-199b
MI   MI0000713  mmu-mir-199a-2
MI   MI0000714  mmu-mir-199b
MI   MI0000941  rno-mir-199a
MI   MI0001220  gga-mir-199-2
MI   MI0001245  gga-mir-199-1
MI   MI0001373  dre-mir-199-1
MI   MI0001374  dre-mir-199-2
MI   MI0001375  dre-mir-199-3
MI   MI0002830  ggo-mir-199a
MI   MI0002831  ppa-mir-199a
MI   MI0002832  ppy-mir-199a
MI   MI0002833  ptr-mir-199a
MI   MI0002834  mml-mir-199a
MI   MI0002835  sla-mir-199a
MI   MI0002836  lla-mir-199a
MI   MI0002837  mne-mir-199a
MI   MI0003275  fru-mir-199-3
MI   MI0003276  tni-mir-199-3
MI   MI0003329  fru-mir-199-2
MI   MI0003330  tni-mir-199-2
MI   MI0003358  fru-mir-199-1
MI   MI0003359  tni-mir-199-1
MI   MI0004758  bta-mir-199a
MI   MI0004859  xtr-mir-199a
MI   MI0004944  xtr-mir-199b
MI   MI0005036  bta-mir-199b
MI   MI0005314  mdo-mir-199b
//
AC   MIPF0000041
ID   mir-24
MI   MI0000080  hsa-mir-24-1
MI   MI0000081  hsa-mir-24-2
MI   MI0000231  mmu-mir-24-1
MI   MI0000572  mmu-mir-24-2
MI   MI0000854  rno-mir-24-1
MI   MI0000855  rno-mir-24-2
MI   MI0001275  gga-mir-24
MI   MI0001918  dre-mir-24-4
MI   MI0001919  dre-mir-24-2
MI   MI0001920  dre-mir-24-3
MI   MI0001921  dre-mir-24-1
MI   MI0002428  ssc-mir-24
MI   MI0002637  mml-mir-24-1
MI   MI0002638  ppy-mir-24-1
MI   MI0002639  mne-mir-24-1
MI   MI0002640  ppa-mir-24-1
MI   MI0003037  ggo-mir-24
MI   MI0003042  ppa-mir-24-2
MI   MI0003047  ppy-mir-24-2
MI   MI0003050  ptr-mir-24
MI   MI0003053  mml-mir-24-2
MI   MI0003058  mne-mir-24-2
MI   MI0003413  fru-mir-24-1
MI   MI0003414  tni-mir-24-1
MI   MI0003433  fru-mir-24-2
MI   MI0003434  tni-mir-24-2
MI   MI0004895  xtr-mir-24a
MI   MI0004896  xtr-mir-24b
MI   MI0005053  bta-mir-24
MI   MI0005365  mdo-mir-24-2
MI   MI0005368  mdo-mir-24-1
//
AC   MIPF0000042
ID   mir-204
MI   MI0000247  mmu-mir-204
MI   MI0000284  hsa-mir-204
MI   MI0000287  hsa-mir-211
MI   MI0000708  mmu-mir-211
MI   MI0000946  rno-mir-204
MI   MI0000951  rno-mir-211
MI   MI0001225  gga-mir-204-2
MI   MI0001271  gga-mir-204-1
MI   MI0001377  dre-mir-204-1
MI   MI0002042  dre-mir-204-2
MI   MI0002043  dre-mir-204-3
MI   MI0002458  ssc-mir-204
MI   MI0002838  ptr-mir-204
MI   MI0002839  ggo-mir-204
MI   MI0002840  ppy-mir-204
MI   MI0002841  sla-mir-204
MI   MI0002842  mne-mir-204
MI   MI0002843  ppa-mir-204
MI   MI0002850  mml-mir-211
MI   MI0002851  ppy-mir-211
MI   MI0002852  mne-mir-211
MI   MI0003251  tni-mir-204b
MI   MI0003465  fru-mir-204
MI   MI0003466  tni-mir-204a
MI   MI0003711  gga-mir-211
MI   MI0004948  xtr-mir-204-2
MI   MI0004949  xtr-mir-204-1
MI   MI0005316  mdo-mir-204
//
AC   MIPF0000043
ID   mir-26
MI   MI0000083  hsa-mir-26a-1
MI   MI0000084  hsa-mir-26b
MI   MI0000573  mmu-mir-26a-1
MI   MI0000575  mmu-mir-26b
MI   MI0000706  mmu-mir-26a-2
MI   MI0000750  hsa-mir-26a-2
MI   MI0000857  rno-mir-26a
MI   MI0000858  rno-mir-26b
MI   MI0001187  gga-mir-26a
MI   MI0001923  dre-mir-26a-1
MI   MI0001925  dre-mir-26a-2
MI   MI0001926  dre-mir-26a-3
MI   MI0001927  dre-mir-26b
MI   MI0002429  ssc-mir-26a
MI   MI0002641  ptr-mir-26a
MI   MI0002642  ggo-mir-26a
MI   MI0002643  ppy-mir-26a
MI   MI0002644  lla-mir-26a
MI   MI0002645  mne-mir-26a
MI   MI0002646  mml-mir-26a
MI   MI0002647  ppa-mir-26a
MI   MI0003369  fru-mir-26
MI   MI0003370  tni-mir-26
MI   MI0004731  bta-mir-26a
MI   MI0004745  bta-mir-26b
MI   MI0004807  xtr-mir-26-1
MI   MI0004808  xtr-mir-26-2
//
AC   MIPF0000044
ID   mir-219
MI   MI0000296  hsa-mir-219-1
MI   MI0000358  dme-mir-219
MI   MI0000702  mmu-mir-219-1
MI   MI0000740  hsa-mir-219-2
MI   MI0000741  mmu-mir-219-2
MI   MI0000959  rno-mir-219-1
MI   MI0000960  rno-mir-219-2
MI   MI0001246  gga-mir-219
MI   MI0001328  dps-mir-219
MI   MI0001384  dre-mir-219-1
MI   MI0001385  dre-mir-219-2
MI   MI0001582  ame-mir-219
MI   MI0001611  aga-mir-219
MI   MI0002054  dre-mir-219-3
MI   MI0002884  mml-mir-219
MI   MI0002885  ggo-mir-219
MI   MI0002886  ppy-mir-219
MI   MI0003215  fru-mir-219-2
MI   MI0003216  tni-mir-219-2
MI   MI0003411  fru-mir-219-1
